0,内科,
1,精神科,
2,神経科,
3,呼吸器科,
4,消化器科,
5,循環器科,
6,眼科,
7,耳鼻いんこう科,
8,リハビリテーション科,
9,放射線科,
10,神経内科,
11,歯科,
12,外科,
13,脳神経外科,
14,皮膚科,
15,泌尿器科,
16,麻酔科,
17,整形外科,
18,心臓血管外科,
19,小児科,
20,産婦人科,
21,歯科口腔外科,
22,心臓血,
23,形成外科,
24,歯科口,
25,リウマチ科,
26,呼吸器外科,
27,胃腸科,
28,こう門科,
29,小児外科,
30,婦人科,
31,気管食道科,
32,心臓,
33,リ,"this value is in ""市立札幌病院"", and as far as I searched, According to the documentation, as of 2012, only “Rheumatology” dpt existed there. so we can see this ""リ"" means リウマチ科
source: https://www.city.sapporo.jp/kansa/f02keka/documents/hoka250327_02.pdf"
34,心療内科,
35,小児歯科,
36,矯正歯科,
37,アレルギー科,
38,産科,
39,リハビリテ,
40,放射,
41,心臓血管,
42,脳神,
43,麻酔,
44,リハビリ,
45,美容外科,
46,放射線,
47,歯,
48,耳鼻いんこう,
49,皮膚泌尿器科,
50,泌,
51,リハビリテー,
52,リハ,
53,麻,
54,消化器,
55,リハビリテーショ,
56,消,
57,リハビリテーシ,
58,性病科,
59,耳鼻咽喉科,
60,肛門科,
61,脳血管内科,
62,外来通院リハビリテーション,
63,循環器内科,
64,呼吸器内科,
65,肝臓内科,
66,人工透析内科,
67,消化器・血液内科,
68,頻尿器下,
69,耳鼻咽喉,
70,内科・小児科・整形外科・外科・歯科・リハビリテーション科,
